id,year,age,number_of_visits,county
532,2012,Adults (18+),65.0,Los Angeles
533,2012,AllAges,25.0,Los Angeles
534,2012,Children (0-17),0.0,Los Angeles
535,2012,Adults (18+),15.0,Los Angeles
536,2012,AllAges,24.0,Los Angeles
537,2012,Children (0-17),0.0,Los Angeles
538,2012,Adults (18+),22.0,Los Angeles
539,2012,AllAges,112.0,Los Angeles
540,2012,Children (0-17),20.0,Los Angeles
541,2012,Adults (18+),92.0,Los Angeles
542,2012,AllAges,39.0,Los Angeles
543,2012,Children (0-17),12.0,Los Angeles
544,2012,Adults (18+),27.0,Los Angeles
545,2012,AllAges,53.0,Los Angeles
546,2012,Children (0-17),12.0,Los Angeles
547,2012,Adults (18+),41.0,Los Angeles
548,2012,AllAges,143.0,Los Angeles
549,2012,Children (0-17),53.0,Los Angeles
550,2012,Adults (18+),90.0,Los Angeles
551,2012,AllAges,200.0,Los Angeles
552,2012,Children (0-17),100.0,Los Angeles
553,2012,Adults (18+),100.0,Los Angeles
554,2012,AllAges,273.0,Los Angeles
555,2012,Children (0-17),88.0,Los Angeles
556,2012,Adults (18+),185.0,Los Angeles
557,2012,AllAges,91.0,Los Angeles
558,2012,Children (0-17),33.0,Los Angeles
559,2012,Adults (18+),58.0,Los Angeles
560,2012,AllAges,140.0,Los Angeles
561,2012,Children (0-17),47.0,Los Angeles
562,2012,Adults (18+),93.0,Los Angeles
563,2012,AllAges,97.0,Los Angeles
564,2012,Children (0-17),23.0,Los Angeles
565,2012,Adults (18+),74.0,Los Angeles
566,2012,AllAges,100.0,Ventura
567,2012,Children (0-17),36.0,Ventura
568,2012,Adults (18+),64.0,Ventura
569,2012,AllAges,103.0,Los Angeles
570,2012,Children (0-17),37.0,Los Angeles
571,2012,Adults (18+),66.0,Los Angeles
572,2012,AllAges,122.0,Los Angeles
573,2012,Children (0-17),47.0,Los Angeles
574,2012,Adults (18+),75.0,Los Angeles
575,2012,AllAges,150.0,Los Angeles
576,2012,Children (0-17),63.0,Los Angeles
577,2012,Adults (18+),87.0,Los Angeles
578,2012,AllAges,73.0,Los Angeles
579,2012,Children (0-17),21.0,Los Angeles
580,2012,Adults (18+),52.0,Los Angeles
581,2012,AllAges,744.0,Los Angeles
582,2012,Children (0-17),333.0,Los Angeles
583,2012,Adults (18+),411.0,Los Angeles
584,2012,AllAges,489.0,Los Angeles
585,2012,Children (0-17),189.0,Los Angeles
586,2012,Adults (18+),300.0,Los Angeles
587,2012,AllAges,219.0,Los Angeles
588,2012,Children (0-17),113.0,Los Angeles
589,2012,Adults (18+),106.0,Los Angeles
590,2012,AllAges,541.0,Los Angeles
591,2012,Children (0-17),212.0,Los Angeles
592,2012,Adults (18+),329.0,Los Angeles
593,2012,AllAges,413.0,Los Angeles
594,2012,Children (0-17),194.0,Los Angeles
595,2012,Adults (18+),219.0,Los Angeles
596,2012,AllAges,223.0,Los Angeles
597,2012,Children (0-17),64.0,Los Angeles
598,2012,Adults (18+),159.0,Los Angeles
599,2012,AllAges,104.0,Los Angeles
600,2012,Children (0-17),31.0,Los Angeles
601,2012,Adults (18+),73.0,Los Angeles
602,2012,AllAges,81.0,Los Angeles
603,2012,Children (0-17),36.0,Los Angeles
604,2012,Adults (18+),45.0,Los Angeles
605,2012,AllAges,149.0,Los Angeles
606,2012,Children (0-17),52.0,Los Angeles
607,2012,Adults (18+),97.0,Los Angeles
608,2012,AllAges,305.0,Los Angeles
609,2012,Children (0-17),136.0,Los Angeles
610,2012,Adults (18+),169.0,Los Angeles
611,2012,AllAges,48.0,Los Angeles
612,2012,Children (0-17),21.0,Los Angeles
613,2012,Adults (18+),27.0,Los Angeles
614,2012,AllAges,64.0,Los Angeles
615,2012,Children (0-17),17.0,Los Angeles
616,2012,Adults (18+),47.0,Los Angeles
617,2012,AllAges,121.0,Los Angeles
618,2012,Children (0-17),37.0,Los Angeles
619,2012,Adults (18+),84.0,Los Angeles
620,2012,AllAges,105.0,Ventura
621,2012,Children (0-17),48.0,Ventura
622,2012,Adults (18+),57.0,Ventura
623,2012,AllAges,25.0,Ventura
624,2012,Children (0-17),0.0,Ventura
625,2012,Adults (18+),16.0,Ventura
626,2012,AllAges,85.0,Ventura
